,TSLA,CERN,RXT,HUBS,INTU,OKTA,TRUE,MELI,QIWI,SLAB,JWN,TWTR,CTXS,PINS,BIDU,ZEN,EB,ASAN,TRVG,UIS,NTAP,BB,CIEN,EPAM,ZM,SPOT,CSCO,VMW,PYPL,ADBE,ACN,BAH,WORK,PLTR,FVRR,MDLA,FTNT,DASH,TU,CARG,YELP,AKAM,NTNX,V,NEWR,SHOP,ORCL,DOCN,QCOM,ABNB,ADSK,SSTK,REAL,EXTR,NFLX,AAPL,VG,MSTR,WIX,DDOG,SPLK,ZBRA,TDC,BABA,AMZN,ESTC,TWLO,GRPN,W,BIGC,ERIC,FEYE,PI,TEAM,DOCU
2020-02-01,,-7.828418189881879e-05,,-7.828418189881879e-05,-7.828418189881879e-05,-7.828418189881879e-05,-7.828418189881879e-05,-7.828418189881879e-05,-7.828418189881879e-05,,-7.828418189881879e-05,,,-7.828418189881879e-05,,-7.828418189881879e-05,-7.828418189881879e-05,,-7.828418189881879e-05,,,,,,,,-7.828418189881879e-05,,-7.828418189881879e-05,-7.828418189881879e-05,,,-7.828418189881879e-05,,-7.828418189881879e-05,-7.828418189881879e-05,,,-7.828418189881879e-05,-7.828418189881879e-05,,,-7.828418189881879e-05,-7.828418189881879e-05,-7.828418189881879e-05,-7.828418189881879e-05,-7.828418189881879e-05,,,,-7.828418189881879e-05,-7.828418189881879e-05,-7.828418189881879e-05,,-7.828418189881879e-05,-7.828418189881879e-05,-7.828418189881879e-05,,-7.828418189881879e-05,,-7.828418189881879e-05,,,-7.828418189881879e-05,-7.828418189881879e-05,-7.828418189881879e-05,-7.828418189881879e-05,-7.828418189881879e-05,-7.828418189881879e-05,,-7.828418189881879e-05,,,-7.828418189881879e-05,-7.828418189881879e-05
2020-03-01,0.01367494525114028,0.01367494525114028,,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,,0.01367494525114028,0.01367494525114028,0.01367494525114028,,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,,0.01367494525114028,,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028,0.01367494525114028
2020-04-01,0.012286502608662856,0.012286502608662856,,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,,0.012286502608662856,0.012286502608662856,0.012286502608662856,,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,,0.012286502608662856,,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856,0.012286502608662856
2020-05-01,0.021476624204919796,0.021476624204919796,,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,,0.021476624204919796,0.021476624204919796,0.021476624204919796,,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,,0.021476624204919796,,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796,0.021476624204919796
2020-06-01,0.00438098086787723,0.00438098086787723,,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,,0.00438098086787723,0.00438098086787723,0.00438098086787723,,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,,0.00438098086787723,,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723,0.00438098086787723
2020-07-01,-0.018414343215306855,-0.018414343215306855,,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,,-0.018414343215306855,,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855,-0.018414343215306855
2020-08-01,0.00644280661172398,0.00644280661172398,,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,,0.00644280661172398,0.00644280661172398,0.00644280661172398,,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,,0.00644280661172398,,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398,0.00644280661172398
2020-09-01,0.019519698549677826,0.019519698549677826,,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,,0.019519698549677826,0.019519698549677826,0.019519698549677826,,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,,0.019519698549677826,,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826,0.019519698549677826
2020-10-01,0.027637837157768123,0.027637837157768123,,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,,0.027637837157768123,0.027637837157768123,0.027637837157768123,,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,,0.027637837157768123,,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123,0.027637837157768123
2020-11-01,0.03375761122514396,0.03375761122514396,,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,,0.03375761122514396,0.03375761122514396,0.03375761122514396,,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,,0.03375761122514396,,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396,0.03375761122514396
